"","Variable","Nombre","Medida","Máximo"
"1","Edad","Edad (años)","Edad en años","No aplica"
"2","Escolaridad","Escolaridad (años)","Años de escolaridad sin contar preescolar","No aplica"
"3","MMSE","Mini Mental State Examination","número de aciertos","30"
"4","FLUIDEZ SEM","Fluidez verbal semántica","número de palabras","No aplica"
"5","TOTAL DENOMINACIÓN","Denominación","número de aciertos","15"
"6","TOTAL LP","Aprendizaje de la lista de palabras","número de palabras","30"
"7","DIFERIDO LP","Recuerdo diferido de la lista de palabras","número de palabras","10"
"8","TOTAL RECONOCIMIENTO LP","Reconocimiento de la lista de palabras","número de aciertos","10"
"9","TOTAL PRAX COP","Praxias construccionales - copia","número de aciertos","11"
"10","TOTAL PRAX EVO","Praxias construccionales - evocación","número de aciertos","11"
"11","TMT_TIEMPO","Trail Making Test - A","tiempo de ejecución","No aplica"
"12","FIG REY TIEMPO COP","Figura Compleja de Rey / tiempo - copia","tiempo de ejecución","300"
"13","FIG REY PUNTAJE COP","Figura Compleja de Rey / puntaje - copia","número de aciertos","36"
"14","FIG REY TIEMPO EVO","Figura Compleja de Rey / tiempo - evocación","tiempo de ejecución","300"
"15","FIG REY PUNTAJE EVO","Figura Compleja de Rey / puntaje - evocación","número de aciertos","36"
"16","FIG REY PORC RETEN","Figura Compleja de Rey - porcentaje de retención","porcentaje de retención","100"
"17","FAS F TOTAL CORRECT","Fluidez verbal fonológica letra F","número de palabras","No aplica"
"18","FAS A TOTAL CORRECT","Fluidez verbal fonológica letra A","número de palabras","No aplica"
"19","FAS S TOTAL CORRECT","Fluidez verbal fonológica letra S","número de palabras","No aplica"
"20","RAVEN","Matrices progresivas de Raven","número de aciertos","12"
"21","WISCON ACIERTOS","Test de clasificación de tarjetas del Wisconsin (WCST)","número de aciertos","48"
"22","WISCON ERRORES","Test de clasificación de tarjetas del Wisconsin (WCST)","número de errores","No aplica"
"23","WISCON CATEGORIA","Test de clasificación de tarjetas del Wisconsin (WCST)","número de categorías","6"
"24","WISCON RES_PERSE","Test de clasificación de tarjetas del Wisconsin (WCST)","respuestas perseverativas","No aplica"
"25","MIS TOTAL","Memory Impairment Screen","total de aciertos","8"
"26","DIGITOS SIMB TOTAL","Dígitos y símbolos","número de aciertos","144"
"27","MCT TOTAL LIST1","Memory Capacity Test lista 1","número de palabras aprendidas","16"
"28","MCT TOTAL LIST2","Memory Capacity Test lista 2","número de palabras aprendidas","16"
"29","MCT REC2L TOTAL L1","Memory Capacity Test - unión de las dos listas","número de palabras recordadas","32"
"30","MCT REClibr TOTAL","Memory Capacity Test - recuerdo libre","número de palabras recordadas","32"
